Violation Description,Fine amount,Quantity,%
NO PARK/STREET CLEAN,73.0,2434742.0,28.867940255172208
METER EXP.,63.0,1483118.0,17.584845464271158
RED ZONE,93.0,621533.0,7.369313672913988
PREFERENTIAL PARKING,68.0,580289.0,6.880297042862704
DISPLAY OF TABS,25.0,517651.0,6.137618746064326
NO PARKING,73.0,378468.0,4.487371398076065
DISPLAY OF PLATES,25.0,231392.0,2.743539328407202
WHITE ZONE,58.0,189462.0,2.2463890205308967
NO STOP/STANDING,93.0,152131.0,1.803767552767235
PARKED OVER TIME LIMIT,58.0,147286.0,1.74632197104387
PARKED OVER TIME LIM,58.0,136763.0,1.6215541988096136
STANDNG IN ALLEY,68.0,118141.0,1.4007592302126055
BLOCKING DRIVEWAY,68.0,104341.0,1.2371371398550333
STOP/STAND PROHIBIT,93.0,93846.0,1.112701354470778
YELLOW ZONE,58.0,89492.0,1.0610773992956424
NO STOP/STAND,93.0,86157.0,1.0215353941258958
NO EVIDENCE OF REG,50.0,82835.0,0.9821475257079352
PARKED ON SIDEWALK,68.0,77153.0,0.9147779085041869
18 IN. CURB/2 WAY,63.0,73846.0,0.8755678901844413
EXCEED 72HRS-ST,68.0,71408.0,0.8466613208879368
FIRE HYDRANT,68.0,65634.0,0.7782008897484713
DOUBLE PARKING,68.0,55170.0,0.6541326612338599
OUTSIDE LINES/METER,58.0,52970.0,0.6280479801623629
NO STOPPING/ANTI-GRIDLOCK ZONE,163.0,49126.0,0.5824709283265289
OFF STR/OVERTIME/MTR,58.0,44496.0,0.527574531344242
NO STOPPING/ANTI-GRI,163.0,40488.0,0.4800529851012601
EXPIRED TAGS,25.0,24882.0,0.2950177429186316
COMM VEH OVER TIME LIMIT,133.0,19078.0,0.22620161158273663
COMM VEH OVER TIME L,78.0,17860.0,0.21176018360769874
PRIVATE PROPERTY,68.0,17829.0,0.2113926267380549
METER EXPIRED,63.0,17678.0,0.20960226908269308
WHITE CURB,58.0,16073.0,0.19057230857371454
DISABLED PARKING/NO DP ID,363.0,15397.0,0.18255719748083635
PARKED IN PARKWAY,63.0,15301.0,0.18141895685226192
NO STOPPING/STANDING,93.0,15108.0,0.17913061892189877
OVNIGHT PRK W/OUT PE,68.0,13507.0,0.16014808510577752
PK IN PROH AREA,68.0,13381.0,0.15865414428077362
18 IN/CURB/COMM VEH,63.0,12522.0,0.14846926198967544
PREF PARKING,68.0,12379.0,0.14677375772002815
DISABLED PARKING/NO,363.0,12360.0,0.14654848092895612
RESTRICTED TAXI ZONE,68.0,10913.0,0.12939187478783967
HANDICAP/NO DP ID,363.0,9608.0,0.11391891624315617
DSPLYPLATE A,25.0,9275.0,0.10997064406278868
22500H,68.0,8403.0,0.09963162501990439
COMM TRAILER/22 FT.,78.0,8383.0,0.09939449155561804
PARKED IN BUS ZONE,293.0,7688.0,0.09115410367166785
PARKED IN CROSSWALK,68.0,7559.0,0.08962459282702098
CITY PARK/PROHIB,58.0,6937.0,0.0822497420877159
NO STOP/STAND PM,93.0,6212.0,0.0736536540073362
18 IN. CURB/1 WAY,63.0,5727.0,0.06790316749839252
22514,68.0,5427.0,0.06434616553409747
22500F,68.0,5411.0,0.06415645876266841
SAFETY ZONE/CURB,68.0,5353.0,0.06346877171623803
OFF STR MTR/OUT LINE,58.0,5273.0,0.06252023785909269
STNDNG IN ALLEY,68.0,5222.0,0.06191554752516253
WITHIN INTERSECTION,68.0,5046.0,0.05982877303944276
PARKING/FRONT YARD,68.0,4912.0,0.0582399788287243
PARKED IN FIRE LANE,63.0,4611.0,0.054671120191214936
22500E,68.0,4359.0,0.0516832385412071
WRG SD/NOT PRL,63.0,4129.0,0.048956203701914225
RED CURB,93.0,3959.0,0.04694056925548036
PK OUTSD PK STL,58.0,3749.0,0.044450667880473825
BLK BIKE PATH OR LANE,93.0,3697.0,0.04383412087332935
GREEN ZONE,58.0,3639.0,0.04314643382689898
PKD OVER TIME LIMIT,58.0,3593.0,0.0426010268590404
5200,25.0,3528.0,0.04183034310010981
22502A,63.0,3254.0,0.038581614639386995
5204,25.0,3177.0,0.0376686508018846
NO STOP/STAND AM,93.0,3142.0,0.0372536672393835
PARKING AREA,58.0,3103.0,0.03679125698402515
DISABLED PARKING/CROSS HATCH,363.0,3044.0,0.03609171326438046
NO PARKING BETWEEN POSTED HOURS,68.0,2975.0,0.03527360281259259
PARK IN GRID LOCK ZN,163.0,2948.0,0.03495347263580604
DP- RO NOT PRESENT,363.0,2901.0,0.03439620899473315
2251157A,363.0,2880.0,0.03414721885723249
CARSHARE PARKING,163.0,2785.0,0.033020834901872395
DP-BLKNG ACCESS RAMP,363.0,2682.0,0.03179959756079776
DISABLED PARKING/CRO,363.0,2636.0,0.031254190592939185
4000A,50.0,2558.0,0.030329370082222473
BLK BIKE PATH OR LAN,93.0,2322.0,0.027531195203643697
TIME LIMIT/CITY LOT,63.0,2119.0,0.02512429054113738
EXCEED 72 HOURS,68.0,2056.0,0.02437732012863542
3 FT. SIDEWALK RAMP,363.0,1977.0,0.02344064294470439
NO PK BET 1-3AM,68.0,1838.0,0.021792565367914348
22500I,293.0,1447.0,0.017156606141116464
PK OVERSIZ,73.0,1343.0,0.015923512126827515
NO PARKING BETWEEN P,68.0,1156.0,0.013706314235750264
OVERNIGHT PARKING,63.0,1051.0,0.012461363548246996
PKD IN/ON PARKWAY,63.0,1040.0,0.012330940142889511
LOAD/UNLOAD ONLY,93.0,1006.0,0.011927813253602738
PARK-PSTD AREAS,93.0,955.0,0.01132312291967258
2251157B,363.0,951.0,0.011275696226815313
17104h,,850.0,0.010078172232169313
22500B,68.0,841.0,0.00997146217324046
EXCEED TIME LMT,58.0,803.0,0.00952090859109642
80581,163.0,751.0,0.008904361583951945
PK OTSD PSTD AR,58.0,708.0,0.008394524635736322
COMVEH RES/OV TM LMT,78.0,680.0,0.00806253778573545
80691a,,545.0,0.006461886901802677
DISABLED PARKING/OBSTRUCT ACCESS,363.0,518.0,0.006141756725016122
HANDICAP/ON LINE,363.0,434.0,0.005145796175013507
DISABLED PARKING/OBS,363.0,426.0,0.0050509427892989735
PK OUTSD SPACE,58.0,424.0,0.005027229442870339
RED FLAG DAY,68.0,424.0,0.005027229442870339
R/PRIV PARKING AREA,93.0,414.0,0.004908662710727171
HANDICAP/CROSS HATCH,363.0,388.0,0.004600389207154934
PUBLIC GROUNDS,63.0,369.0,0.004375112416082913
PARKING OUTSIDE PARKING STALLS,58.0,341.0,0.004043125566082041
DISABLED PARKING/BOUNDARIES,363.0,338.0,0.004007555546439091
225078,60.0,337.0,0.003995698873224774
8755,105.0,334.0,0.003960128853581824
6344,,331.0,0.003924558833938873
HANDICPD/BLOCKING,363.0,328.0,0.0038889888142959227
COMVEH RES/OV TM C-3,133.0,317.0,0.0037585654089384375
PARKING/FRONT YARD 1,68.0,306.0,0.003628142003580953
SIGN POSTED - NO PARKING,68.0,301.0,0.0035688586375093685
SIGN PSTD-NO PK,68.0,279.0,0.0033080118267943977
OBST FIRE RD,105.0,272.0,0.0032250151142941804
DISABLED PARKING/BOU,363.0,272.0,0.0032250151142941804
22502E,63.0,268.0,0.003177588421436913
22500A,68.0,266.0,0.003153875075008279
8709b,,265.0,0.003142018401793962
CLEANING VEH/STREET,53.0,259.0,0.003070878362508061
PK TRAILER,78.0,232.0,0.0027507481857215067
17104c,,215.0,0.0025491847410781202
RESTRICTED ZONE,68.0,206.0,0.0024424746821492685
COMVEH RES/OV TM B-2,103.0,201.0,0.0023831913160776846
5201F,25.0,177.0,0.0020986311589340804
22522,363.0,177.0,0.0020986311589340804
STORING VEH/ON STR,93.0,176.0,0.0020867744857197635
PARK FIRE LANE,63.0,173.0,0.002051204466076813
PARKING PROHIB,68.0,162.0,0.0019207810607193279
5201A,,162.0,0.0019207810607193279
VEH/LOAD OVR 6' HIGH,58.0,156.0,0.0018496410214334266
PK OVR PNTD LNS,58.0,152.0,0.0018022143285761595
8054,,151.0,0.0017903576553618423
21113A,63.0,150.0,0.0017785009821475258
PERIOD OF DISPLAY,25.0,150.0,0.0017785009821475258
22500,,148.0,0.001754787635718892
DP-REFUSE ID,363.0,145.0,0.0017192176160759414
LEFT SIDE OF ROADWAY,58.0,137.0,0.0016243642303614067
2251157C,363.0,134.0,0.0015887942107184565
UNATT/MOTOR ON,63.0,128.0,0.0015176541714325552
AUDIBLE ALARM,58.0,118.0,0.0013990874392893868
22651D,,101.0,0.0011975239946460006
5200A1,,101.0,0.0011975239946460006
8502,,98.0,0.0011619539750030502
5201G,,95.0,0.0011263839553600995
26708A1,,94.0,0.0011145272821457828
DP-ALTERED,363.0,92.0,0.001090813935717149
PRKG PUBL GRNDS,40.0,90.0,0.0010671005892885154
OVERSIZED VEHICLE PARKING,63.0,89.0,0.0010552439160741985
PK-15FT FIRE ST,68.0,89.0,0.0010552439160741985
8606B,,87.0,0.001031530569645565
22502,40.0,86.0,0.001019673896431248
22651K,,82.0,0.0009722472035739807
ILGL EXT OF TM,63.0,79.0,0.0009366771839310303
PARKING UNHITCHED TR,78.0,78.0,0.0009248205107167133
PK OVERSIZED 1ST,73.0,75.0,0.0008892504910737629
4000,50.0,74.0,0.000877393817859446
52011C,,72.0,0.0008536804714308122
57490884,,69.0,0.0008181104517878618
FOR SALE SIGN,105.0,65.0,0.0007706837589305945
BLOCK HANDICAP ACCES,363.0,65.0,0.0007706837589305945
8306,,64.0,0.0007588270857162776
22523A,143.0,58.0,0.0006876870464303767
REPAIRING VEH/STREET,53.0,56.0,0.0006639737000017429
ADVERTISING ON VEH,88.0,53.0,0.0006284036803587923
BLOCKING INTERSECTION,88.0,51.0,0.0006046903339301588
DP-SUBPLATE,363.0,49.0,0.0005809769875015251
OVERSIZED VEHICLE PA,63.0,46.0,0.0005454069678585746
STOP/STAND PROHB,93.0,45.0,0.0005335502946442577
DSPLYPLATE B,25.0,44.0,0.0005216936214299409
22523B,143.0,42.0,0.0004979802750013072
81714,,42.0,0.0004979802750013072
5200F,,41.0,0.00048612360178699034
PARK IN XWALK,68.0,40.0,0.00047426692857267355
BLOCKING INTERSECTIO,88.0,39.0,0.00046241025535835665
PK OVR 2 SPACES,58.0,36.0,0.0004268402357154061
OVERSIZED VEHICLE PARKING TOPHAM ST,63.0,34.0,0.00040312688928677255
2251157,345.0,34.0,0.00040312688928677255
NO COIN DEP IN METER,63.0,34.0,0.00040312688928677255
6344K12,,34.0,0.00040312688928677255
22502B,,34.0,0.00040312688928677255
PK OVERSIZED 2ND,98.0,33.0,0.00039127021607245565
6344K1,,32.0,0.0003794135428581388
PK OVERSIZED 3RD,128.0,32.0,0.0003794135428581388
22651B,,32.0,0.0003794135428581388
PARK RESTRCD,58.0,32.0,0.0003794135428581388
22500D,68.0,32.0,0.0003794135428581388
5202A,,31.0,0.00036755686964382196
5201B,,30.0,0.0003557001964295052
22500C,68.0,30.0,0.0003557001964295052
80741,,29.0,0.00034384352321518833
PRK IN ELEC VEH SPACE,63.0,28.0,0.00033198685000087144
22500E1,68.0,28.0,0.00033198685000087144
5204A1,,28.0,0.00033198685000087144
SIGN POSTED - NO PAR,68.0,27.0,0.00032013017678655465
PARKING OUTSIDE OF S,35.0,27.0,0.00032013017678655465
PARKING OUTSIDE PARK,58.0,27.0,0.00032013017678655465
22400A,,27.0,0.00032013017678655465
5201C,,25.0,0.00029641683035792096
40001A,,24.0,0.0002845601571436041
6644K7,,23.0,0.0002727034839292873
ABAND VEH/HIGHWAY,143.0,23.0,0.0002727034839292873
BICYCLE PARKING,53.0,22.0,0.00026084681071497043
6FT OF RR TRACK,63.0,21.0,0.0002489901375006536
80703,,20.0,0.00023713346428633677
RV-OVERNIGHT,93.0,20.0,0.00023713346428633677
CATERING VIOLATION,73.0,20.0,0.00023713346428633677
ANGLE PKD,45.0,20.0,0.00023713346428633677
8603B,68.0,19.0,0.00022527679107201993
8344K2,,19.0,0.00022527679107201993
PARK RED FLAG DAY,68.0,19.0,0.00022527679107201993
8069,,19.0,0.00022527679107201993
PARKING/FRONT YARD 2,93.0,19.0,0.00022527679107201993
PK TRLR-PUBL AR,55.0,19.0,0.00022527679107201993
26101B,,19.0,0.00022527679107201993
MT FIRE RD NO PERMIT,105.0,18.0,0.00021342011785770306
806910,,18.0,0.00021342011785770306
POSITION OF PLATES,25.0,18.0,0.00021342011785770306
OFF STREET/OVERTIME,63.0,18.0,0.00021342011785770306
80692A,,17.0,0.00020156344464338627
FR FORGN JURIS,25.0,17.0,0.00020156344464338627
FAIL DEP COIN,63.0,17.0,0.00020156344464338627
PK ON PRIV ST,93.0,16.0,0.0001897067714290694
4204A,,16.0,0.0001897067714290694
6344K,,16.0,0.0001897067714290694
PARKED ON BRIDGE,68.0,16.0,0.0001897067714290694
MORE 18-CURB,63.0,16.0,0.0001897067714290694
MISUSE/DP PRIVILEGE,363.0,16.0,0.0001897067714290694
8755*,255.0,16.0,0.0001897067714290694
80661,,15.0,0.0001778500982147526
8049A,,15.0,0.0001778500982147526
OUTSIDE MARKER,58.0,15.0,0.0001778500982147526
4464,58.0,15.0,0.0001778500982147526
ABAND VEH/PUB/PRIV,143.0,14.0,0.00016599342500043572
8606A,58.0,14.0,0.00016599342500043572
8577,,14.0,0.00016599342500043572
80391B,,14.0,0.00016599342500043572
22515,63.0,14.0,0.00016599342500043572
8009H,,13.0,0.0001541367517861189
OBSTR EXCAVATN,68.0,13.0,0.0001541367517861189
22500J,68.0,13.0,0.0001541367517861189
22651R,,12.0,0.00014228007857180206
PK TRAILER 2,103.0,12.0,0.00014228007857180206
572521,,12.0,0.00014228007857180206
IN PARK AFT HRS,55.0,12.0,0.00014228007857180206
6803,,12.0,0.00014228007857180206
5204C,,12.0,0.00014228007857180206
2265101A,,12.0,0.00014228007857180206
8602B,,11.0,0.00013042340535748522
22500G,68.0,11.0,0.00013042340535748522
LOADING ZONES,58.0,11.0,0.00013042340535748522
PARKED IN ELEC VEHICLE SPACE,63.0,11.0,0.00013042340535748522
8939B,,11.0,0.00013042340535748522
22502B2,,11.0,0.00013042340535748522
80361A,,11.0,0.00013042340535748522
8969A,,10.0,0.00011856673214316839
80744,,10.0,0.00011856673214316839
8501B,,10.0,0.00011856673214316839
80714A,,10.0,0.00011856673214316839
HANDICPD/ON LINE,353.0,10.0,0.00011856673214316839
8003,,9.0,0.00010671005892885153
YELLOW CURB,58.0,9.0,0.00010671005892885153
22515A,,9.0,0.00010671005892885153
DEF WINDSHIELD,35.0,9.0,0.00010671005892885153
22400H,,9.0,0.00010671005892885153
STATE HIGHWAY PARKNG,63.0,9.0,0.00010671005892885153
MOB BILBD ADV DISP,255.0,9.0,0.00010671005892885153
8056,,9.0,0.00010671005892885153
8066,,9.0,0.00010671005892885153
PARALLEL PK RQD,58.0,9.0,0.00010671005892885153
26708,,9.0,0.00010671005892885153
WRG VEH REGISTR,25.0,9.0,0.00010671005892885153
PK TRAILER 3,133.0,9.0,0.00010671005892885153
STANDING IN ALLEY,68.0,9.0,0.00010671005892885153
8960,,8.0,9.48533857145347e-05
80704,,8.0,9.48533857145347e-05
22523AB,,8.0,9.48533857145347e-05
226515,,8.0,9.48533857145347e-05
2250A,,8.0,9.48533857145347e-05
26708A,,8.0,9.48533857145347e-05
8003A,,8.0,9.48533857145347e-05
82732,,8.0,9.48533857145347e-05
5402A,,8.0,9.48533857145347e-05
267085,,8.0,9.48533857145347e-05
VIO-PERM/PARK,68.0,7.0,8.299671250021786e-05
BLK INT PROHIB,93.0,7.0,8.299671250021786e-05
22651,,7.0,8.299671250021786e-05
RESTRCTD ZONES,45.0,7.0,8.299671250021786e-05
PK NR FIRE HYDR,68.0,7.0,8.299671250021786e-05
8403,,7.0,8.299671250021786e-05
225022,,7.0,8.299671250021786e-05
22502C,,7.0,8.299671250021786e-05
8071,73.0,7.0,8.299671250021786e-05
ON RR TRACK/7.5 FT,63.0,7.0,8.299671250021786e-05
80733,,7.0,8.299671250021786e-05
8755**,505.0,6.0,7.114003928590103e-05
NO PARK STRT CLEAN,73.0,6.0,7.114003928590103e-05
PARK LOT - STRT/ALY,63.0,6.0,7.114003928590103e-05
22500K,68.0,6.0,7.114003928590103e-05
5402,,6.0,7.114003928590103e-05
24002A,,6.0,7.114003928590103e-05
UNINCORP AREA,63.0,6.0,7.114003928590103e-05
80691O,,6.0,7.114003928590103e-05
8709,,6.0,7.114003928590103e-05
8805A,,6.0,7.114003928590103e-05
COMMERCIAL - UNDESIG,35.0,6.0,7.114003928590103e-05
8009K,,6.0,7.114003928590103e-05
21458,,6.0,7.114003928590103e-05
22658A,,6.0,7.114003928590103e-05
6344B14C,,6.0,7.114003928590103e-05
6344B14A,,6.0,7.114003928590103e-05
225111A,,5.0,5.9283366071584194e-05
52011A,,5.0,5.9283366071584194e-05
8056E,,5.0,5.9283366071584194e-05
TRAILER   6' HIGH,58.0,5.0,5.9283366071584194e-05
6344B14B,,5.0,5.9283366071584194e-05
2500H,,5.0,5.9283366071584194e-05
22651E,,5.0,5.9283366071584194e-05
8056A1,,5.0,5.9283366071584194e-05
2251175A,345.0,5.0,5.9283366071584194e-05
22651O,,5.0,5.9283366071584194e-05
40001,50.0,5.0,5.9283366071584194e-05
22521,63.0,5.0,5.9283366071584194e-05
6644K2,,5.0,5.9283366071584194e-05
W/I 25 FT. CROSSWALK,58.0,5.0,5.9283366071584194e-05
8063,,5.0,5.9283366071584194e-05
80417,,5.0,5.9283366071584194e-05
26708A2,,5.0,5.9283366071584194e-05
80723,,5.0,5.9283366071584194e-05
52011E,,5.0,5.9283366071584194e-05
8060,,5.0,5.9283366071584194e-05
29003A,,5.0,5.9283366071584194e-05
22669A,,5.0,5.9283366071584194e-05
22400,,4.0,4.742669285726735e-05
5200H,,4.0,4.742669285726735e-05
22651N,,4.0,4.742669285726735e-05
6433K7,,4.0,4.742669285726735e-05
8969B,,4.0,4.742669285726735e-05
57490883,,4.0,4.742669285726735e-05
22652,,4.0,4.742669285726735e-05
44625,,4.0,4.742669285726735e-05
5749089,,4.0,4.742669285726735e-05
4463,,4.0,4.742669285726735e-05
5204F,25.0,4.0,4.742669285726735e-05
6244K2,,4.0,4.742669285726735e-05
